"name","date"
"Jtauroni","2019-05-11T21:40:55Z"
"Jtauroni","2019-05-11T17:53:30Z"
"Jtauroni","2019-05-07T18:58:16Z"
"Jtauroni","2019-05-06T19:33:09Z"
"Jtauroni","2019-04-29T15:21:11Z"
"Jtauroni","2019-04-08T16:49:26Z"
"Jtauroni","2019-04-05T09:23:32Z"
"Jtauroni","2019-04-05T09:23:17Z"
"Jtauroni","2019-03-28T16:07:14Z"
"Jtauroni","2019-03-28T16:06:47Z"
"Jtauroni","2019-03-28T16:06:12Z"
"Jtauroni","2019-03-25T19:01:32Z"
"Jtauroni","2019-03-25T19:00:07Z"
"Jtauroni","2019-03-25T18:59:30Z"
"Jtauroni","2019-03-25T18:58:49Z"
"Jtauroni","2019-03-09T10:27:08Z"
"Jtauroni","2019-03-06T18:32:12Z"
"Jtauroni","2019-03-06T17:38:01Z"
"Jtauroni","2019-03-06T17:33:47Z"
"Jtauroni","2019-03-06T17:21:57Z"
"Oscar Perpiñán Lamigueiro","2019-02-23T13:33:17Z"
"Oscar Perpiñán Lamigueiro","2019-02-23T13:03:06Z"
"Oscar Perpiñán Lamigueiro","2019-02-23T13:00:11Z"
