"name";"id";"slug";"nMembers";"members";"group";"repo"
"4fa";5777729;"4fa";4;"lucasceezar, Nachofdez2708, elenacasellas, lodelolmo";"E105";"twE105_2122-4fa"
"Anonymous";5777569;"anonymous";4;"javierduransainz, Fernizl, nvinco07, Angelcanosa";"E105";"twE105_2122-anonymous"
"A_la_cuarta_va_la_vencida";5746138;"a_la_cuarta_va_la_vencida";3;"oscararrigo, Joshgv25, xrubenruizx";"E105";"twE105_2122-a_la_cuarta_va_la_vencida"
"CodeHub";5777655;"codehub";4;"alvarocamposupm, rafaelbarretodv, bforteza, AntonioFernandez1";"E105";"twE105_2122-codehub"
"Desahuciados";5791544;"desahuciados";2;"diego22222, Josesantiler";"E105";"twE105_2122-desahuciados"
"Electronline";5785144;"electronline";4;"DiegoRodriguezGonzalez, Juanmdemiguel, DanielFrenzel, Mariuser24";"E105";"twE105_2122-electronline"
"El_Enigma";5784185;"el_enigma";4;"ruddy02, JoseAnampa, manuamador005, mykolasastafjevas";"E105";"twE105_2122-el_enigma"
"El_Mate_Del_Loco";5760072;"el_mate_del_loco";4;"inigoazqueta, Javierdelahoz4, rodridesantos, hugoogr";"E105";"twE105_2122-el_mate_del_loco"
"Escape_Room_Legends";5783985;"escape_room_legends";4;"Luispdelmazo, alejandrobeltransuarez1, joseenriqueespinoza99, gonzalosta";"E105";"twE105_2122-escape_room_legends"
"Laberinto_";5803362;"laberinto_";4;"Dionicaballero, osamabouatman, mcsirvent, DiegoFernandesAlves";"E105";"twE105_2122-laberinto_"
"Los ChessPelucas";5785558;"los-chesspelucas";4;"IbanGomezSaenz, NoeFeijoo, DavidMG10, LucasDG0";"E105";"twE105_2122-los-chesspelucas"
"MA&co";5761095;"ma-co";4;"QuantumEnds, IvanAsensioDiez, mortiznunez1, marialazaro17";"E105";"twE105_2122-ma-co"
"oraculo_team";5784186;"oraculo_team";4;"luciaalvarezdiaz, AliciaFernandezS, jorge-sanchez-serafin, MihailDimitro";"E105";"twE105_2122-oraculo_team"
"PFEB";5787370;"pfeb";3;"fzpabloo, Franganillo74, IgnacioBravo013";"E105";"twE105_2122-pfeb"
"Primer_intento";5785642;"primer_intento";4;"emiliorodriguez, Arnaiz13, serdige, NicolasAlJun";"E105";"twE105_2122-primer_intento"
"SOS";5784545;"sos";4;"claudiagarciab, miriamhidalgo, rmestrada, paulapavoncalzado";"E105";"twE105_2122-sos"
"tetrix_redemption";5788729;"tetrix_redemption";4;"matiaspolo, Santiago-Carazo, Josebermen, dcblasco";"E105";"twE105_2122-tetrix_redemption"
"The_Dream_Team";5782961;"the_dream_team";4;"DenizAlcobendas, sergioariasblanco, ana4centeno, dRonda";"E105";"twE105_2122-the_dream_team"
"yoquese";5837098;"yoquese";2;"FernandaBasagoiti, ginescosta";"E105";"twE105_2122-yoquese"
